,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Colorado,Depression,18+,2016,Num of persons,"212,606"
Colorado,Diabetes,18+,2013,Percent,9%
Colorado,Diabetes,18+,2013,Num of persons,"80,362"
Colorado,Diabetes,18+,2014,Percent,11%
Colorado,Diabetes,18+,2014,Num of persons,"91,414"
Colorado,Diabetes,18+,2015,Percent,12%
Colorado,Diabetes,18+,2015,Num of persons,"86,655"
Colorado,Diabetes,18+,2016,Percent,11%
Colorado,Diabetes,18+,2016,Num of persons,"85,731"
Colorado,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Colorado,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"17,302"
Colorado,Pre-diabetes or borderline diabetes,18+,2014,Percent,3%
Colorado,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"22,133"
Colorado,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Colorado,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"18,114"
Colorado,Pre-diabetes or borderline diabetes,18+,2016,Percent,3%
Colorado,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"21,863"
Colorado,Heart disease (angina or CHD),18+,2013,Percent,3%
Colorado,Heart disease (angina or CHD),18+,2013,Num of persons,"29,188"
Colorado,Heart disease (angina or CHD),18+,2014,Percent,4%
Colorado,Heart disease (angina or CHD),18+,2014,Num of persons,"35,223"
Colorado,Heart disease (angina or CHD),18+,2015,Percent,4%
Colorado,Heart disease (angina or CHD),18+,2015,Num of persons,"30,728"
Colorado,Heart disease (angina or CHD),18+,2016,Percent,5%
Colorado,Heart disease (angina or CHD),18+,2016,Num of persons,"35,094"
Colorado,High cholesterol (among those tested),18+,2013,Percent,37%
Colorado,High cholesterol (among those tested),18+,2013,Num of persons,"208,078"
Colorado,High cholesterol (among those tested),18+,2014,Percent,NA
Colorado,High cholesterol (among those tested),18+,2014,Num of persons,NA
Colorado,High cholesterol (among those tested),18+,2015,Percent,36%
Colorado,High cholesterol (among those tested),18+,2015,Num of persons,"174,468"
Colorado,High cholesterol (among those tested),18+,2016,Percent,NA
Colorado,High cholesterol (among those tested),18+,2016,Num of persons,NA
Colorado,Hypertension,18+,2013,Percent,30%
Colorado,Hypertension,18+,2013,Num of persons,"256,807"
Colorado,Hypertension,18+,2014,Percent,NA
Colorado,Hypertension,18+,2014,Num of persons,NA
Colorado,Hypertension,18+,2015,Percent,31%
Colorado,Hypertension,18+,2015,Num of persons,"223,913"
Colorado,Hypertension,18+,2016,Percent,NA
Colorado,Hypertension,18+,2016,Num of persons,NA
Connecticut,Arthritis,18+,2013,Percent,27%
Connecticut,Arthritis,18+,2013,Num of persons,"142,335"
Connecticut,Arthritis,18+,2014,Percent,29%
Connecticut,Arthritis,18+,2014,Num of persons,"159,322"
Connecticut,Arthritis,18+,2015,Percent,30%
Connecticut,Arthritis,18+,2015,Num of persons,"150,118"
Connecticut,Arthritis,18+,2016,Percent,28%
Connecticut,Arthritis,18+,2016,Num of persons,"136,029"
Connecticut,Asthma (current),18+,2013,Percent,12%
Connecticut,Asthma (current),18+,2013,Num of persons,"62,630"
Connecticut,Asthma (current),18+,2014,Percent,10%
Connecticut,Asthma (current),18+,2014,Num of persons,"55,673"
Connecticut,Asthma (current),18+,2015,Percent,15%
Connecticut,Asthma (current),18+,2015,Num of persons,"77,993"
Connecticut,Asthma (current),18+,2016,Percent,13%
Connecticut,Asthma (current),18+,2016,Num of persons,"62,448"
Connecticut,Cancer,18+,2013,Percent,12%
Connecticut,Cancer,18+,2013,Num of persons,"63,943"
Connecticut,Cancer,18+,2014,Percent,9%
Connecticut,Cancer,18+,2014,Num of persons,"51,349"
Connecticut,Cancer,18+,2015,Percent,9%
Connecticut,Cancer,18+,2015,Num of persons,"46,436"
Connecticut,Cancer,18+,2016,Percent,10%
Connecticut,Cancer,18+,2016,Num of persons,"49,471"
Connecticut,Chronic kidney disease,18+,2013,Percent,4%
Connecticut,Chronic kidney disease,18+,2013,Num of persons,"21,642"
Connecticut,Chronic kidney disease,18+,2014,Percent,4%
Connecticut,Chronic kidney disease,18+,2014,Num of persons,"24,207"
Connecticut,Chronic kidney disease,18+,2015,Percent,4%
Connecticut,Chronic kidney disease,18+,2015,Num of persons,"18,920"
Connecticut,Chronic kidney disease,18+,2016,Percent,4%
Connecticut,Chronic kidney disease,18+,2016,Num of persons,"19,993"
Connecticut,COPD,18+,2013,Percent,11%
Connecticut,COPD,18+,2013,Num of persons,"57,632"
Connecticut,COPD,18+,2014,Percent,9%
Connecticut,COPD,18+,2014,Num of persons,"49,441"
Connecticut,COPD,18+,2015,Percent,10%
Connecticut,COPD,18+,2015,Num of persons,"47,894"
Connecticut,COPD,18+,2016,Percent,11%
Connecticut,COPD,18+,2016,Num of persons,"51,596"
Connecticut,Depression,18+,2013,Percent,28%
Connecticut,Depression,18+,2013,Num of persons,"142,482"
Connecticut,Depression,18+,2014,Percent,29%
Connecticut,Depression,18+,2014,Num of persons,"159,293"
Connecticut,Depression,18+,2015,Percent,27%
Connecticut,Depression,18+,2015,Num of persons,"135,896"
Connecticut,Depression,18+,2016,Percent,24%
Connecticut,Depression,18+,2016,Num of persons,"115,500"
Connecticut,Diabetes,18+,2013,Percent,13%
Connecticut,Diabetes,18+,2013,Num of persons,"66,355"
Connecticut,Diabetes,18+,2014,Percent,14%
Connecticut,Diabetes,18+,2014,Num of persons,"78,621"
Connecticut,Diabetes,18+,2015,Percent,15%
Connecticut,Diabetes,18+,2015,Num of persons,"76,131"
Connecticut,Diabetes,18+,2016,Percent,16%
Connecticut,Diabetes,18+,2016,Num of persons,"78,278"
Connecticut,Pre-diabetes or borderline diabetes,18+,2013,Percent,5%
Connecticut,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"28,084"
Connecticut,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
Connecticut,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"37,863"
Connecticut,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Connecticut,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"8,876"
Connecticut,Pre-diabetes or borderline diabetes,18+,2016,Percent,8%
Connecticut,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"39,645"
Connecticut,Heart disease (angina or CHD),18+,2013,Percent,6%
Connecticut,Heart disease (angina or CHD),18+,2013,Num of persons,"32,695"
Connecticut,Heart disease (angina or CHD),18+,2014,Percent,6%
Connecticut,Heart disease (angina or CHD),18+,2014,Num of persons,"32,666"
Connecticut,Heart disease (angina or CHD),18+,2015,Percent,5%
Connecticut,Heart disease (angina or CHD),18+,2015,Num of persons,"27,251"
Connecticut,Heart disease (angina or CHD),18+,2016,Percent,5%
Connecticut,Heart disease (angina or CHD),18+,2016,Num of persons,"25,523"
Connecticut,High cholesterol (among those tested),18+,2013,Percent,41%
Connecticut,High cholesterol (among those tested),18+,2013,Num of persons,"161,139"
Connecticut,High cholesterol (among those tested),18+,2014,Percent,NA
Connecticut,High cholesterol (among those tested),18+,2014,Num of persons,NA
Connecticut,High cholesterol (among those tested),18+,2015,Percent,43%
Connecticut,High cholesterol (among those tested),18+,2015,Num of persons,"163,852"
Connecticut,High cholesterol (among those tested),18+,2016,Percent,NA
Connecticut,High cholesterol (among those tested),18+,2016,Num of persons,NA
Connecticut,Hypertension,18+,2013,Percent,39%
Connecticut,Hypertension,18+,2013,Num of persons,"201,826"
Connecticut,Hypertension,18+,2014,Percent,NA
Connecticut,Hypertension,18+,2014,Num of persons,NA
Connecticut,Hypertension,18+,2015,Percent,37%
Connecticut,Hypertension,18+,2015,Num of persons,"187,592"
Connecticut,Hypertension,18+,2016,Percent,NA
Connecticut,Hypertension,18+,2016,Num of persons,NA
Dist. of Columbia,Arthritis,18+,2013,Percent,29%
Dist. of Columbia,Arthritis,18+,2013,Num of persons,"41,314"
Dist. of Columbia,Arthritis,18+,2014,Percent,27%
Dist. of Columbia,Arthritis,18+,2014,Num of persons,"36,500"
Dist. of Columbia,Arthritis,18+,2015,Percent,28%
Dist. of Columbia,Arthritis,18+,2015,Num of persons,"32,826"
Dist. of Columbia,Arthritis,18+,2016,Percent,28%
Dist. of Columbia,Arthritis,18+,2016,Num of persons,"26,038"
Dist. of Columbia,Asthma (current),18+,2013,Percent,17%
Dist. of Columbia,Asthma (current),18+,2013,Num of persons,"24,144"
Dist. of Columbia,Asthma (current),18+,2014,Percent,17%
Dist. of Columbia,Asthma (current),18+,2014,Num of persons,"23,736"
Dist. of Columbia,Asthma (current),18+,2015,Percent,18%
Dist. of Columbia,Asthma (current),18+,2015,Num of persons,"20,945"
Dist. of Columbia,Asthma (current),18+,2016,Percent,16%
Dist. of Columbia,Asthma (current),18+,2016,Num of persons,"14,731"
Dist. of Columbia,Cancer,18+,2013,Percent,6%
Dist. of Columbia,Cancer,18+,2013,Num of persons,"9,226"
Dist. of Columbia,Cancer,18+,2014,Percent,6%
Dist. of Columbia,Cancer,18+,2014,Num of persons,"8,521"
Dist. of Columbia,Cancer,18+,2015,Percent,8%
Dist. of Columbia,Cancer,18+,2015,Num of persons,"9,449"
Dist. of Columbia,Cancer,18+,2016,Percent,5%
Dist. of Columbia,Cancer,18+,2016,Num of persons,"4,801"
Dist. of Columbia,Chronic kidney disease,18+,2013,Percent,4%
Dist. of Columbia,Chronic kidney disease,18+,2013,Num of persons,"6,271"
Dist. of Columbia,Chronic kidney disease,18+,2014,Percent,3%
Dist. of Columbia,Chronic kidney disease,18+,2014,Num of persons,"4,420"
Dist. of Columbia,Chronic kidney disease,18+,2015,Percent,5%
Dist. of Columbia,Chronic kidney disease,18+,2015,Num of persons,"6,134"
Dist. of Columbia,Chronic kidney disease,18+,2016,Percent,5%
Dist. of Columbia,Chronic kidney disease,18+,2016,Num of persons,"4,274"
Dist. of Columbia,COPD,18+,2013,Percent,10%
Dist. of Columbia,COPD,18+,2013,Num of persons,"14,210"
Dist. of Columbia,COPD,18+,2014,Percent,11%
Dist. of Columbia,COPD,18+,2014,Num of persons,"15,180"
Dist. of Columbia,COPD,18+,2015,Percent,9%
Dist. of Columbia,COPD,18+,2015,Num of persons,"11,098"
Dist. of Columbia,COPD,18+,2016,Percent,11%
Dist. of Columbia,COPD,18+,2016,Num of persons,"10,323"
Dist. of Columbia,Depression,18+,2013,Percent,29%
Dist. of Columbia,Depression,18+,2013,Num of persons,"41,170"
Dist. of Columbia,Depression,18+,2014,Percent,26%
Dist. of Columbia,Depression,18+,2014,Num of persons,"35,301"
Dist. of Columbia,Depression,18+,2015,Percent,27%
Dist. of Columbia,Depression,18+,2015,Num of persons,"31,595"
Dist. of Columbia,Depression,18+,2016,Percent,24%
Dist. of Columbia,Depression,18+,2016,Num of persons,"22,510"
Dist. of Columbia,Diabetes,18+,2013,Percent,14%
Dist. of Columbia,Diabetes,18+,2013,Num of persons,"19,781"
Dist. of Columbia,Diabetes,18+,2014,Percent,13%
Dist. of Columbia,Diabetes,18+,2014,Num of persons,"18,068"
Dist. of Columbia,Diabetes,18+,2015,Percent,15%
Dist. of Columbia,Diabetes,18+,2015,Num of persons,"17,878"
Dist. of Columbia,Diabetes,18+,2016,Percent,15%
Dist. of Columbia,Diabetes,18+,2016,Num of persons,"13,572"
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2013,Percent,8%
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"11,766"
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2014,Percent,11%
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"15,590"
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2015,Percent,13%
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"14,865"
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2016,Percent,14%
Dist. of Columbia,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"12,757"
Dist. of Columbia,Heart disease (angina or CHD),18+,2013,Percent,4%
Dist. of Columbia,Heart disease (angina or CHD),18+,2013,Num of persons,"5,453"
Dist. of Columbia,Heart disease (angina or CHD),18+,2014,Percent,3%
Dist. of Columbia,Heart disease (angina or CHD),18+,2014,Num of persons,"3,678"
Dist. of Columbia,Heart disease (angina or CHD),18+,2015,Percent,5%
Dist. of Columbia,Heart disease (angina or CHD),18+,2015,Num of persons,"5,582"
Dist. of Columbia,Heart disease (angina or CHD),18+,2016,Percent,4%
Dist. of Columbia,Heart disease (angina or CHD),18+,2016,Num of persons,"3,994"
Dist. of Columbia,High cholesterol (among those tested),18+,2013,Percent,42%
Dist. of Columbia,High cholesterol (among those tested),18+,2013,Num of persons,"43,853"
Dist. of Columbia,High cholesterol (among those tested),18+,2014,Percent,NA
Dist. of Columbia,High cholesterol (among those tested),18+,2014,Num of persons,NA
Dist. of Columbia,High cholesterol (among those tested),18+,2015,Percent,39%
Dist. of Columbia,High cholesterol (among those tested),18+,2015,Num of persons,"36,393"
Dist. of Columbia,High cholesterol (among those tested),18+,2016,Percent,NA
Dist. of Columbia,High cholesterol (among those tested),18+,2016,Num of persons,NA
Dist. of Columbia,Hypertension,18+,2013,Percent,40%
Dist. of Columbia,Hypertension,18+,2013,Num of persons,"56,851"
Dist. of Columbia,Hypertension,18+,2014,Percent,NA
Dist. of Columbia,Hypertension,18+,2014,Num of persons,NA
Dist. of Columbia,Hypertension,18+,2015,Percent,48%
Dist. of Columbia,Hypertension,18+,2015,Num of persons,"56,376"
Dist. of Columbia,Hypertension,18+,2016,Percent,NA
Dist. of Columbia,Hypertension,18+,2016,Num of persons,NA
Delaware,Arthritis,18+,2013,Percent,33%
Delaware,Arthritis,18+,2013,Num of persons,"52,039"
Delaware,Arthritis,18+,2014,Percent,33%
Delaware,Arthritis,18+,2014,Num of persons,"54,818"
Delaware,Arthritis,18+,2015,Percent,34%
Delaware,Arthritis,18+,2015,Num of persons,"47,047"
Delaware,Arthritis,18+,2016,Percent,33%
Delaware,Arthritis,18+,2016,Num of persons,"50,449"
Delaware,Asthma (current),18+,2013,Percent,14%
Delaware,Asthma (current),18+,2013,Num of persons,"21,693"
Delaware,Asthma (current),18+,2014,Percent,12%
Delaware,Asthma (current),18+,2014,Num of persons,"20,001"
Delaware,Asthma (current),18+,2015,Percent,12%
Delaware,Asthma (current),18+,2015,Num of persons,"16,266"
Delaware,Asthma (current),18+,2016,Percent,15%
Delaware,Asthma (current),18+,2016,Num of persons,"22,604"
Delaware,Cancer,18+,2013,Percent,12%
Delaware,Cancer,18+,2013,Num of persons,"19,260"
Delaware,Cancer,18+,2014,Percent,10%
Delaware,Cancer,18+,2014,Num of persons,"17,025"
Delaware,Cancer,18+,2015,Percent,12%
Delaware,Cancer,18+,2015,Num of persons,"16,454"
Delaware,Cancer,18+,2016,Percent,11%
Delaware,Cancer,18+,2016,Num of persons,"17,455"
Delaware,Chronic kidney disease,18+,2013,Percent,5%
Delaware,Chronic kidney disease,18+,2013,Num of persons,"7,362"
Delaware,Chronic kidney disease,18+,2014,Percent,5%
Delaware,Chronic kidney disease,18+,2014,Num of persons,"8,635"
Delaware,Chronic kidney disease,18+,2015,Percent,4%
Delaware,Chronic kidney disease,18+,2015,Num of persons,"4,839"
Delaware,Chronic kidney disease,18+,2016,Percent,5%
Delaware,Chronic kidney disease,18+,2016,Num of persons,"7,799"
Delaware,COPD,18+,2013,Percent,10%
Delaware,COPD,18+,2013,Num of persons,"15,908"
Delaware,COPD,18+,2014,Percent,11%
Delaware,COPD,18+,2014,Num of persons,"19,394"
Delaware,COPD,18+,2015,Percent,14%
Delaware,COPD,18+,2015,Num of persons,"18,814"
Delaware,COPD,18+,2016,Percent,13%
Delaware,COPD,18+,2016,Num of persons,"20,587"
Delaware,Depression,18+,2013,Percent,26%
Delaware,Depression,18+,2013,Num of persons,"40,926"
Delaware,Depression,18+,2014,Percent,31%
Delaware,Depression,18+,2014,Num of persons,"51,984"
Delaware,Depression,18+,2015,Percent,28%
Delaware,Depression,18+,2015,Num of persons,"37,543"
Delaware,Depression,18+,2016,Percent,25%
Delaware,Depression,18+,2016,Num of persons,"38,841"
Delaware,Diabetes,18+,2013,Percent,18%
Delaware,Diabetes,18+,2013,Num of persons,"28,366"
Delaware,Diabetes,18+,2014,Percent,15%
Delaware,Diabetes,18+,2014,Num of persons,"25,084"
Delaware,Diabetes,18+,2015,Percent,14%
Delaware,Diabetes,18+,2015,Num of persons,"19,891"
Delaware,Diabetes,18+,2016,Percent,17%
Delaware,Diabetes,18+,2016,Num of persons,"25,726"
Delaware,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Delaware,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"11,600"
Delaware,Pre-diabetes or borderline diabetes,18+,2014,Percent,7%
Delaware,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"12,468"
Delaware,Pre-diabetes or borderline diabetes,18+,2015,Percent,4%
Delaware,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"6,068"
Delaware,Pre-diabetes or borderline diabetes,18+,2016,Percent,11%
Delaware,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"17,405"
Delaware,Heart disease (angina or CHD),18+,2013,Percent,6%
Delaware,Heart disease (angina or CHD),18+,2013,Num of persons,"9,458"
Delaware,Heart disease (angina or CHD),18+,2014,Percent,7%
Delaware,Heart disease (angina or CHD),18+,2014,Num of persons,"11,699"
Delaware,Heart disease (angina or CHD),18+,2015,Percent,5%
Delaware,Heart disease (angina or CHD),18+,2015,Num of persons,"7,336"
Delaware,Heart disease (angina or CHD),18+,2016,Percent,5%
Delaware,Heart disease (angina or CHD),18+,2016,Num of persons,"7,695"
Delaware,High cholesterol (among those tested),18+,2013,Percent,48%
Delaware,High cholesterol (among those tested),18+,2013,Num of persons,"54,163"
Delaware,High cholesterol (among those tested),18+,2014,Percent,NA
Delaware,High cholesterol (among those tested),18+,2014,Num of persons,NA
Delaware,High cholesterol (among those tested),18+,2015,Percent,45%
Delaware,High cholesterol (among those tested),18+,2015,Num of persons,"46,101"
Delaware,High cholesterol (among those tested),18+,2016,Percent,NA
Delaware,High cholesterol (among those tested),18+,2016,Num of persons,NA
Delaware,Hypertension,18+,2013,Percent,42%
Delaware,Hypertension,18+,2013,Num of persons,"65,988"
Delaware,Hypertension,18+,2014,Percent,NA
Delaware,Hypertension,18+,2014,Num of persons,NA
Delaware,Hypertension,18+,2015,Percent,40%
Delaware,Hypertension,18+,2015,Num of persons,"54,781"
Delaware,Hypertension,18+,2016,Percent,NA
Delaware,Hypertension,18+,2016,Num of persons,NA
Florida,Arthritis,18+,2013,Percent,30%
Florida,Arthritis,18+,2013,Num of persons,"1,402,522"
Florida,Arthritis,18+,2014,Percent,30%
